dispatching_base_number,date,active_vehicles,trips,month,day,weekday
B02512,2015-01-01,190,1132,1,1,Thursday
B02765,2015-01-01,225,1765,1,1,Thursday
B02764,2015-01-01,3427,29421,1,1,Thursday
B02682,2015-01-01,945,7679,1,1,Thursday
B02617,2015-01-01,1228,9537,1,1,Thursday
B02598,2015-01-01,870,6903,1,1,Thursday
B02598,2015-01-02,785,4768,1,2,Friday
B02617,2015-01-02,1137,7065,1,2,Friday
B02512,2015-01-02,175,875,1,2,Friday
B02682,2015-01-02,890,5506,1,2,Friday
B02765,2015-01-02,196,1001,1,2,Friday
B02764,2015-01-02,3147,19974,1,2,Friday
B02765,2015-01-03,201,1526,1,3,Saturday
B02617,2015-01-03,1188,10664,1,3,Saturday
B02598,2015-01-03,818,7432,1,3,Saturday
B02682,2015-01-03,915,8010,1,3,Saturday
B02512,2015-01-03,173,1088,1,3,Saturday
B02764,2015-01-03,3215,29729,1,3,Saturday
B02512,2015-01-04,147,791,1,4,Sunday
B02682,2015-01-04,812,5621,1,4,Sunday
B02598,2015-01-04,746,5223,1,4,Sunday
B02765,2015-01-04,183,993,1,4,Sunday
B02617,2015-01-04,1088,7729,1,4,Sunday
B02764,2015-01-04,2862,20441,1,4,Sunday
B02512,2015-01-05,194,984,1,5,Monday
B02682,2015-01-05,951,6012,1,5,Monday
B02617,2015-01-05,1218,7899,1,5,Monday
B02764,2015-01-05,3387,20926,1,5,Monday
B02598,2015-01-05,907,5798,1,5,Monday
B02765,2015-01-05,227,1133,1,5,Monday
B02764,2015-01-06,3473,25301,1,6,Tuesday
B02682,2015-01-06,1022,7491,1,6,Tuesday
B02617,2015-01-06,1336,10128,1,6,Tuesday
B02765,2015-01-06,234,1376,1,6,Tuesday
B02512,2015-01-06,218,1314,1,6,Tuesday
B02598,2015-01-06,933,6816,1,6,Tuesday
B02617,2015-01-07,1363,11528,1,7,Wednesday
B02682,2015-01-07,1039,9078,1,7,Wednesday
B02764,2015-01-07,3603,29949,1,7,Wednesday
B02765,2015-01-07,248,1704,1,7,Wednesday
B02512,2015-01-07,217,1446,1,7,Wednesday
B02598,2015-01-07,974,8397,1,7,Wednesday
B02765,2015-01-08,262,1911,1,8,Thursday
B02598,2015-01-08,1070,10050,1,8,Thursday
B02512,2015-01-08,238,1772,1,8,Thursday
B02682,2015-01-08,1135,10416,1,8,Thursday
B02764,2015-01-08,3831,33802,1,8,Thursday
B02617,2015-01-08,1463,13462,1,8,Thursday
B02617,2015-01-09,1455,13165,1,9,Friday
B02512,2015-01-09,224,1560,1,9,Friday
B02764,2015-01-09,3820,33517,1,9,Friday
B02682,2015-01-09,1140,10477,1,9,Friday
B02598,2015-01-09,1070,9538,1,9,Friday
B02765,2015-01-09,280,2039,1,9,Friday
B02682,2015-01-10,1057,11629,1,10,Saturday
B02617,2015-01-10,1331,13856,1,10,Saturday
B02598,2015-01-10,949,10287,1,10,Saturday
B02512,2015-01-10,206,1646,1,10,Saturday
B02764,2015-01-10,3558,38864,1,10,Saturday
B02765,2015-01-10,245,2202,1,10,Saturday
B02765,2015-01-11,220,1672,1,11,Sunday
B02598,2015-01-11,832,7176,1,11,Sunday
B02682,2015-01-11,943,8461,1,11,Sunday
B02764,2015-01-11,3186,27681,1,11,Sunday
B02617,2015-01-11,1228,10932,1,11,Sunday
B02512,2015-01-11,162,1104,1,11,Sunday
B02764,2015-01-12,3499,26852,1,12,Monday
B02765,2015-01-12,279,1711,1,12,Monday
B02512,2015-01-12,217,1399,1,12,Monday
B02598,2015-01-12,964,7915,1,12,Monday
B02682,2015-01-12,1082,9107,1,12,Monday
B02617,2015-01-12,1323,10662,1,12,Monday
B02765,2015-01-13,258,1697,1,13,Tuesday
B02598,2015-01-13,975,8713,1,13,Tuesday
B02617,2015-01-13,1342,11825,1,13,Tuesday
B02512,2015-01-13,234,1652,1,13,Tuesday
B02764,2015-01-13,3658,29983,1,13,Tuesday
B02682,2015-01-13,1092,9629,1,13,Tuesday
B02764,2015-01-14,3736,29550,1,14,Wednesday
B02765,2015-01-14,271,1600,1,14,Wednesday
B02598,2015-01-14,1030,8870,1,14,Wednesday
B02512,2015-01-14,233,1582,1,14,Wednesday
B02617,2015-01-14,1405,11965,1,14,Wednesday
B02682,2015-01-14,1174,9762,1,14,Wednesday
B02512,2015-01-15,237,1636,1,15,Thursday
B02682,2015-01-15,1208,10391,1,15,Thursday
B02617,2015-01-15,1457,12539,1,15,Thursday
B02765,2015-01-15,270,1797,1,15,Thursday
B02764,2015-01-15,3840,31214,1,15,Thursday
B02598,2015-01-15,1068,9152,1,15,Thursday
B02617,2015-01-16,1445,12977,1,16,Friday
B02765,2015-01-16,290,2082,1,16,Friday
B02764,2015-01-16,3975,34822,1,16,Friday
B02682,2015-01-16,1250,11280,1,16,Friday
B02512,2015-01-16,234,1481,1,16,Friday
B02598,2015-01-16,1079,9838,1,16,Friday
B02598,2015-01-17,974,9546,1,17,Saturday
B02512,2015-01-17,201,1281,1,17,Saturday
B02682,2015-01-17,1137,11382,1,17,Saturday
B02765,2015-01-17,252,2160,1,17,Saturday
B02617,2015-01-17,1306,12676,1,17,Saturday
B02764,2015-01-17,3657,36318,1,17,Saturday
B02512,2015-01-18,177,1521,1,18,Sunday
B02598,2015-01-18,869,9443,1,18,Sunday
B02765,2015-01-18,248,2287,1,18,Sunday
B02764,2015-01-18,3290,35182,1,18,Sunday
B02682,2015-01-18,1056,11161,1,18,Sunday
B02617,2015-01-18,1223,12879,1,18,Sunday
B02682,2015-01-19,883,7028,1,19,Monday
B02617,2015-01-19,992,7775,1,19,Monday
B02765,2015-01-19,238,1568,1,19,Monday
B02764,2015-01-19,2958,22750,1,19,Monday
B02512,2015-01-19,168,1025,1,19,Monday
B02598,2015-01-19,706,5609,1,19,Monday
B02598,2015-01-20,944,7206,1,20,Tuesday
